Invoice_No,Vendor,Date,Amount,Status
INV001,ABC Ltd,01-01-2026,500.00,Paid
INV002,XYZ Inc,02-01-2026,700.00,Pending
INV003,Maple Leaf Supplies,05-01-2026,1250.00,Paid
INV004,Northstar Logistics,08-01-2026,3400.00,Pending
INV005,Sunrise Tech Solutions,11-01-2026,980.00,Paid
INV006,Redwood Consulting,14-01-2026,2150.00,Overdue
INV007,Pacific Rim Traders,17-01-2026,5500.00,Paid
INV008,Golden Gate Analytics,20-01-2026,875.00,Pending
INV009,Evergreen Facilities,23-01-2026,1640.00,Paid
INV010,Pinnacle Office Co.,26-01-2026,430.00,Overdue
INV011,Atlas Cloud Services,29-01-2026,7200.00,Pending
INV012,Horizon HR Group,01-02-2026,1100.00,Paid
